name,lat,lon,description,picture
五台山,38.9762,113.5957,五台山，国家AAAAA级旅游景区，国家重点风景名胜区，国家地质公园，国家自然与文化双重遗产，中华十大名山，中国佛教四大名山，世界五大佛教圣地。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=87da2600c9cec3fd9f33af27b7e1bf5a/58ee3d6d55fbb2fb7dde83de454a20a44723dc01.jpg
殷墟,36.1488,114.3162,殷墟是中国至今第一个有文献可考、并为考古学和甲骨文所证实的都城，由殷墟王陵遗址、殷墟宫殿宗庙遗址、洹北商城遗址等构成。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=859aadcca0d3fd1f2204aa6851274e7a/9f2f070828381f30ee35b34ba1014c086e06f027.jpg
大足石刻,29.7182,105.8014,大足石刻现为国家AAAAA级旅游景区，全国重点文物保护单位，重庆十大文化符号,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=b643ef247c0e0cf3b4fa46a96b2f997a/d058ccbf6c81800a3fc9cb38bf3533fa828b47d3.jpg
沈阳故宫,41.8047,123.462,沈阳故宫位于辽宁省沈阳市中心，是中国仅存的两大宫殿建筑群之一，又称盛京皇宫，为清朝初期的皇宫。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=e283068a399b033b3885f48874a75db6/5882b2b7d0a20cf40704e5517b094b36adaf99a3.jpg
苏州园林,31.3302,120.6355,苏州古典园林，简称苏州园林，是世界文化遗产、国家AAAAA级旅游景区，中国十大风景名胜之一。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=d39a6f630e087bf469e15fbb93ba3c49/08f790529822720ec2fcb2d277cb0a46f21fabec.jpg
福建土楼,24.5904,117.0694,福建土楼起源于唐朝陈元光开漳时的兵营、城堡和山寨，成熟于明末、清代和民国时期，是闽南地区自唐以来“外寇之出入，蟊贼之内讧”的特殊社会环境的产物。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=322faad62f2dd42a4b0409f9625230d0/314e251f95cad1c842830398753e6709c93d5151.jpg
凤凰古城,27.9532,109.609,凤凰古城，位于湖南省湘西土家族苗族自治州的西南部，土地总面积约10平方千米。2010年底约5万人口，由苗族、汉族、土家族等28个民族组成，为典型的少数民族聚居区。,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=db06e4ed53afa40f28cbc68fca0d682a/a08b87d6277f9e2faffe4ed71630e924b999f322.jpg
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
